JD,Magnitude
2457337.2,9.8
2457337.31111,10.2
2457337.423,9.39
2457337.5249,9.7
2457338.3,9.7
2457338.372,9.3
2457338.4,9.7
2457338.53125,9.5
2457339.2424,9.3
2457339.3229,9.7
2457339.419,9.17
2457339.42,9.6
2457339.44722,9.2
2457340.17639,9.4
2457341.29167,9.4
2457341.5,9.7
2457342.23403,8.6
2457342.3,8.9
2457342.3333,9.2
2457342.39236,9.1
2457342.48107,8.814
2457342.5,9.6
2457342.611,9.6
2457343.23,9.3
2457343.2861,9.2
2457344.17292,9.2
2457344.38,9.3
2457345.2,8.4
2457345.2465,9.4
2457347.17014,8.5
2457348.36,8.8
2457349.26736,9.1
2457349.3,9.1
2457350.2,8.6
2457350.4,8.6
2457350.4,8
2457350.4292,8
2457351.28125,8.7
2457351.49106,7.963
2457351.6,8.5
2457352.576,8.4
2457353.3,7.8
2457354.173,8
2457354.22778,8
2457354.28333,8.5
2457354.2861,8.1
2457354.32,7.7
2457355.16875,7.8
2457355.28611,9
2457355.3,8
2457357.2653,9
2457357.3,8
2457357.3,8
2457358.2625,7.9
2457358.3,8.1
2457358.92708,7.2
2457359.2,7.9
2457359.25,8.1
2457359.268032,7.818
2457360.172,7.4
2457360.23889,7.9
2457361.223,7.2
2457361.3,8.1
2457361.3229,8.1
2457361.383,7.94
2457361.5,8.2
2457362.2917,7.7
2457362.5,8.4
2457363.191,7.6
2457363.21,8.2
2457363.3,7.9
2457363.30139,7.64
2457363.46441,7.433
2457364.1528,8
2457364.28611,7.8
2457364.3,7.5
2457365.177,7
2457365.2549,8.1
2457365.3,7.8
2457365.546,7.9
2457365.58958,7.1
2457366.25417,7.8
2457366.343,7
2457367.1896,7.6
2457367.3688,7.7
2457367.4153,7.9
2457368.2,8
2457368.3,7
2457368.684,8
2457369.19792,7
2457369.267801,7.592
2457369.3,7.8
2457369.4,7.3
2457370.1681,8
2457370.26944,7.5
2457371.29861,7.3
2457374.3,7
2457375.7208,7.2
2457376.17917,6.8
2457376.6813,7.3
2457377.1972,7.3
2457377.207,7.6
2457377.24,6.5
2457377.3,7.3
2457377.5,7.4
2457378.20972,7.13
2457379.27361,7.3
2457379.3,7.3
2457379.3,7.1
2457379.6979,6.8
2457380.232,6.9
2457380.2567,7.7
2457380.2785,7.1
2457380.341,6.8
2457380.6931,6.9
2457381.24,6.8
2457381.3,7
2457382.27083,6.9
2457382.284,7.22
2457383.20694,6.9
2457383.249,7.22
2457384.19306,6.93
2457384.2375,7.2
2457384.248,7.5
2457385.272,7.44
2457385.3,6.7
2457385.33611,7.4
2457386.1785,6.7
